student_id,subject_id,attendance_date,status,remarks
1,4,2026-01-02,Present,
1,5,2026-01-02,Present,
1,6,2026-01-02,Present,
1,4,2026-01-03,Present,
1,5,2026-01-03,Present,
1,6,2026-01-03,Present,
1,4,2026-01-04,Present,
1,5,2026-01-04,Present,
1,6,2026-01-04,Present,
1,4,2026-01-05,Present,
1,5,2026-01-05,Present,
1,6,2026-01-05,Present,
2,4,2026-01-02,Present,
2,5,2026-01-02,Present,
2,6,2026-01-02,Present,
2,4,2026-01-03,Present,
2,5,2026-01-03,Present,
2,6,2026-01-03,Absent,
2,4,2026-01-04,Absent,
2,5,2026-01-04,Present,
2,6,2026-01-04,Absent,
2,4,2026-01-05,Present,
2,5,2026-01-05,Absent,
2,6,2026-01-05,Absent,
3,4,2026-01-02,Absent,
3,5,2026-01-02,Present,
3,6,2026-01-02,Absent,
3,4,2026-01-03,Present,
3,5,2026-01-03,Absent,
3,6,2026-01-03,Absent,
3,4,2026-01-04,Absent,
3,5,2026-01-04,Absent,
3,6,2026-01-04,Absent,
3,4,2026-01-05,Absent,
3,5,2026-01-05,Absent,
3,6,2026-01-05,Absent,
